PDV: 12499 - SAS SADIC INTERMARCHE                  Date : 18/04/2025   Heure : 11:10:12,,,,,,
"Statistique : Palmarès: Niveau de détail: Par Article, Flux: Vente Nette, Palmarès: Par Quantité, Type valorisation: PA",,,,,,
,,,,,,
"Sélection de données :  De 2024 à 2024,   Sélection des 100 premières lignes. ",,,,,,
Critères de sélection :,,,,,,
Date suppression logique  : vide,,,,,,
Nomenclature  : Du 1010 à 1010,,,,,,
,,,,,,
Rang,ITM8 Prio,EAN Prio,Libellé,Valeur prix vente,Quantité,Prix Kg ou pièce
70,0000019443461,5202425001128,FE FETA GRECQUE AOP 180G,1961.16,478,4.1
71,0000099006094,0204920000000,LE SAUVAGET,3396.25,475,7.2
72,0000043439327,2663571000000,VAGNE COMTE 9/12MOIS 1/8M 5KG,11587.08,465.25,24.9
73,0000099041350,0204080000000,COMTE 12 MOIS,13295.24,461.46,28.8
74,0009943439268,2890729000000,BEAUFORT PTPERCE AOP 1/12M 3K5,14969.31,449.83,33.3
75,0000099041420,0204130000000,COURONNE LOCHOISE,3053.2,449,6.8
76,0009943439221,2890801000000,P&C ST NECTAIRE LAITIE AOP 1K7,6979.13,429.48,16.3
77,0000019248513,3296651111937,FE BRILLAT SAVARIN IGP 200G,2443.88,425,5.8
78,0000024454373,3760280680817,FE HALLOUMI AOP 225G,2050.31,420,4.9
79,0009919915032,2844180000000,*PICODON AOP 60G,3140.9,415.88,7.6
80,0000043439171,2663495000000,FE EPOISSES AOP 250G,3402.59,414,8.2
81,0000043439334,2663661000000,P&C MORBIER AOP LC 6K5,7037.17,410.22,17.2
82,0009919362372,2891827000000,GP CANTAL JEUNE LAIT CRU AOP5K,7204.42,400.25,18.0
83,0000019749800,2843639000000,TOMME CAZELLES BREBIS 4.4ENV,8321.78,396.37,21.0
84,0000099006097,0204950000000,TOMME DE MONTAGNE CHARTREUSE,9147.4,395.14,23.1
85,0000099041877,0204630000000,OLIVES DE NYONS,8002.65,394.55,20.3
86,0000099011577,3483130046402,PETIT POT CREME CHOCOLAT,742.9,391,1.9
87,0000043439455,2663545000000,P'TIT BASQUE PUR BREBIS 660G,10278.37,387.02,26.6
88,0000099041875,0204610000000,REBLOCHON FERMIER AOP,12488.86,379.02,33.0
89,0000024105511,2831762000000,ITCHEBAI CHEVRE&BREBIS 4K5,9708.34,374.53,25.9
90,0000099060024,0204690000000,PICHOLINES NATURES,6219.11,371.63,16.7
91,0000043434115,3250391105335,FE P&C CHAOURCE AOP 250G,1676.18,363,4.6
92,0000099041839,0204260000000,PELISSONNE D'ARDECHE,8121.44,360.04,22.6
93,0000099041838,0204250000000,TOMME DE TARENTAISE,6619.02,353.01,18.8
94,0000099041352,0204100000000,COMTE 24 MOIS,13073.14,338.24,38.7
95,0000043439371,2663568000000,COMTE VAGNE AOP 18 MOIS 5KG,2490.98,338,7.4
96,0000099052839,3429881511936,BROCCIU FRAIS FERMIER AOP,2999.3,337,8.9
97,0000099011579,3483130046419,PETIT POT CREME CAFE,638.4,336,1.9
98,0000043439010,2663499000000,"ROITELET BRIE 3,150KG",4816.73,328.02,14.7
99,0000099006092,0204900000000,PAVE DU LARZAC,1853.2,328,5.7
100,0000099011576,3483130046426,PETIT POT CREME CARAMEL,621.3,327,1.9
,,,,,,
,,,,,,
Nombre de Lignes : 100,,,,,,
